PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare
1,3,1,22.0,1,0,7.25
2,1,0,38.0,1,0,71.2833
3,3,0,26.0,0,0,7.925
4,1,0,35.0,1,0,53.1
5,3,1,35.0,0,0,8.05
6,3,1,28.0,0,0,8.4583
7,1,1,54.0,0,0,51.8625
8,3,1,2.0,3,1,21.075
9,3,0,27.0,0,2,11.1333
10,2,0,14.0,1,0,30.0708
11,3,0,4.0,1,1,16.7
12,1,0,58.0,0,0,26.55
13,3,1,20.0,0,0,8.05
14,3,1,39.0,1,5,31.275
15,3,0,14.0,0,0,7.8542
16,2,0,55.0,0,0,16.0
17,3,1,2.0,4,1,29.125
18,2,1,28.0,0,0,13.0
19,3,0,31.0,1,0,18.0
20,3,0,28.0,0,0,7.225
21,2,1,35.0,0,0,26.0
22,2,1,34.0,0,0,13.0
23,3,0,15.0,0,0,8.0292
24,1,1,28.0,0,0,35.5
25,3,0,8.0,3,1,21.075
26,3,0,38.0,1,5,31.3875
27,3,1,28.0,0,0,7.225
28,1,1,19.0,3,2,263.0
29,3,0,28.0,0,0,7.8792
30,3,1,28.0,0,0,7.8958
31,1,1,40.0,0,0,27.7208
32,1,0,28.0,1,0,146.5208
33,3,0,28.0,0,0,7.75
34,2,1,66.0,0,0,10.5
35,1,1,28.0,1,0,82.1708
36,1,1,42.0,1,0,52.0
37,3,1,28.0,0,0,7.2292
38,3,1,21.0,0,0,8.05
39,3,0,18.0,2,0,18.0
40,3,0,14.0,1,0,11.2417
41,3,0,40.0,1,0,9.475
42,2,0,27.0,1,0,21.0
43,3,1,28.0,0,0,7.8958
44,2,0,3.0,1,2,41.5792
45,3,0,19.0,0,0,7.8792
46,3,1,28.0,0,0,8.05
47,3,1,28.0,1,0,15.5
48,3,0,28.0,0,0,7.75
49,3,1,28.0,2,0,21.6792
50,3,0,18.0,1,0,17.8
51,3,1,7.0,4,1,39.6875
52,3,1,21.0,0,0,7.8
53,1,0,49.0,1,0,76.7292
54,2,0,29.0,1,0,26.0
55,1,1,65.0,0,1,61.9792
56,1,1,28.0,0,0,35.5
57,2,0,21.0,0,0,10.5
58,3,1,28.5,0,0,7.2292
59,2,0,5.0,1,2,27.75
60,3,1,11.0,5,2,46.9
61,3,1,22.0,0,0,7.2292
62,1,0,38.0,0,0,80.0
63,1,1,45.0,1,0,83.475
64,3,1,4.0,3,2,27.9
65,1,1,28.0,0,0,27.7208
66,3,1,28.0,1,1,15.2458
67,2,0,29.0,0,0,10.5
68,3,1,19.0,0,0,8.1583
69,3,0,17.0,4,2,7.925
70,3,1,26.0,2,0,8.6625
71,2,1,32.0,0,0,10.5
72,3,0,16.0,5,2,46.9
73,2,1,21.0,0,0,73.5
74,3,1,26.0,1,0,14.4542
75,3,1,32.0,0,0,56.4958
